,net_return
2009-03-25,0.008369311320558376
2009-03-26,0.01920306420610841
2009-03-27,-0.01875147175965539
2009-03-30,-0.025383188605531265
2009-03-31,0.016837098635667316
2009-04-01,0.011765670994423712
2009-04-02,0.024411446191069875
2009-04-03,0.012262816671580763
2009-04-06,-0.010399886622473448
2009-04-07,-0.02101930787525616
2009-04-08,0.011548803330701176
2009-04-09,0.03569471840130103
2009-04-13,0.005625682694898763
2009-04-14,-0.02022157162466045
2009-04-15,0.016004454810524062
2009-04-16,0.010867322580002175
2009-04-17,0.0011492401195270002
2009-04-20,-0.032142156647784574
2009-04-21,0.02071996317919889
2009-04-22,-0.006281687567060989
2009-04-23,0.011473961774913397
2009-04-24,0.0147771688226305
2009-04-27,-0.0149868430229479
2009-04-28,-0.004151169088459613
2009-04-29,0.021039274957918346
2009-04-30,-0.0013596263099516748
2009-05-01,-0.0015916125560142625
2009-05-04,0.032477627420880506
2009-05-05,-0.007342137550624912
2009-05-06,0.011416057245776335
2009-05-07,-0.022641038928472752
2009-05-08,0.02124846780564679
2009-05-11,-0.009849737790698513
2009-05-12,-0.0009481799195135629
2009-05-13,-0.023940835246215923
2009-05-14,0.009592254502587725
2009-05-15,-0.0063539490534616876
2009-05-18,0.02348679112266194
2009-05-19,0.00015161543628060031
2009-05-20,0.0007273635021413124
2009-05-21,-0.010053386955736014
2009-05-22,-0.0057103303581962995
2009-05-26,0.019796670683758663
2009-05-27,-0.015141520408263125
2009-05-28,0.012153675896988113
2009-05-29,0.019801822431295964
2009-06-01,0.018303481249972522
2009-06-02,-0.00020044649065677515
2009-06-03,-0.008287908117382586
2009-06-04,0.009807317589162713
2009-06-05,-0.0047931682385608625
2009-06-08,-0.007413719852821513
2009-06-09,0.003673801569341038
2009-06-10,-0.00419518071302155
2009-06-11,0.0022709714910847368
2009-06-12,0.0025581819072607375
2009-06-15,-0.01983597843443115
2009-06-16,-0.006042279422655475
2009-06-17,-0.002065016667040575
2009-06-18,-0.0027887479567426376
2009-06-19,0.007460705417033413
2009-06-22,-0.023617086906300426
2009-06-23,0.003519110342987337
2009-06-24,0.009180881709850888
2009-06-25,0.01840625904898125
2009-06-26,0.0023530618542552876
2009-06-29,0.0019921215527295625
2009-06-30,-0.0035899740825010495
2009-07-01,0.008158854276220488
2009-07-02,-0.022136411762694198
2009-07-06,0.00042342362565798796
2009-07-07,-0.01599303907353225
2009-07-08,-0.0015156942446007623
2009-07-09,-0.0013403598751027125
2009-07-10,0.000919937934299075
2009-07-13,0.013953913096933912
2009-07-14,0.00324968445429665
2009-07-15,0.021073936666603163
2009-07-16,0.006340169043341788
2009-07-17,-0.0029581283898999127
2009-07-20,0.015755013392081824
2009-07-21,0.0045239095747757
2009-07-22,0.0008158433317929751
2009-07-23,0.014953325813764325
2009-07-24,0.0016142290358934876
2009-07-27,0.003523265305140825
2009-07-28,-0.002623582148600751
2009-07-29,-0.0043063594314828625
2009-07-30,0.014670667943010526
2009-07-31,0.006153299431794999
2009-08-03,0.010512134630110415
2009-08-04,0.006517553324888488
2009-08-05,-0.0006802326218425873
2009-08-06,-0.005650992651143312
2009-08-07,0.012000569115255837
2009-08-10,-0.004197096198159687
2009-08-11,-0.00883949644725795
2009-08-12,0.004950137953057976
2009-08-13,0.009458106283305512
2009-08-14,-0.008828457264795812
2009-08-17,-0.022054528750299424
2009-08-18,0.007922731893399712
2009-08-19,0.004868464419474313
2009-08-20,0.012391562050226625
2009-08-21,0.01072824105219001
2009-08-24,0.0010745948423525483
2009-08-25,0.0037492632390417504
2009-08-26,0.0015160312840784363
2009-08-27,0.0008317186858906627
2009-08-28,0.0018505990505945378
2009-08-31,-0.008617238282597486
2009-09-01,-0.017509783518480388
2009-09-02,0.00277340958624415
2009-09-03,0.009283340562373362
2009-09-04,0.0079991006028718
2009-09-08,0.009116670068619949
2009-09-09,0.006611328484886625
2009-09-10,0.011373149891794724
2009-09-11,0.003171417801314837
2009-09-14,0.0026659698395990502
2009-09-15,0.005869093648480825
2009-09-16,0.01621690975949125
2009-09-17,-0.00023703472333941246
2009-09-18,-0.0014330788319261004
2009-09-21,-0.0031479916509869876
2009-09-22,0.00981952703038986
2009-09-23,-0.00994065662167665
2009-09-24,-0.013233706438487411
2009-09-25,-0.000266106922074475
2009-09-28,0.015418131464562463
2009-09-29,-0.003359292592046263
2009-09-30,-0.0007801072331106251
2009-10-01,-0.020684980607613538
2009-10-02,-0.0038171085547064995
2009-10-05,0.013849122128320013
2009-10-06,0.0095251470891949
2009-10-07,0.002873798905403375
2009-10-08,0.006043931156337325
2009-10-09,-0.0008913365028658626
2009-10-12,0.0031223831944108254
2009-10-13,-0.0005756170302664501
2009-10-14,0.012096932352214963
2009-10-15,-0.003875332717053938
2009-10-16,-0.006571732219775749
2009-10-19,0.011227466192177887
2009-10-20,-0.005876645019597612
2009-10-21,-0.006212335482063137
